sku_name,ua_name,price
38_instant_drink,Lipton лимонний чайний напій 180 г,65.9
39_instant_drink,Quaker вівсянка з ягодами 40 г,45.9
40_instant_drink,Каша з чорним рисом 30 г,42.9
41_instant_drink,Каша з червоною квасолею 30 г,42.9
42_instant_noodles,Локшина швидкого приготування гостра яловичина 112 г,49.9
43_instant_noodles,Локшина яловичина з квашеною гірчицею 118 г,52.9
44_instant_noodles,Локшина тушкована яловичина 114 г,55.9
45_instant_noodles,Локшина стакан морепродукти 84 г,59.9
46_instant_noodles,Локшина реберця білий перець 76 г,45.9
47_instant_noodles,Локшина гостра яловичина 105 г,58.9
48_instant_noodles,Локшина реберця часник гостра 108 г,56.9
49_instant_noodles,Локшина яловичина сичуанський перець 82 г,52.9
50_instant_noodles,Локшина куряча три смаки 87 г,45.9
51_instant_noodles,Локшина яловичий стейк чорний перець 104 г,62.9
52_instant_noodles,Локшина тушкована яловичина 100 г,49.9
53_instant_noodles,Локшина яловичина з квашеною гірчицею 114 г,52.9
54_dessert,Печиво-пуфи манго-ананас 60 г,55.9
55_dessert,Печиво сендвіч чорниця 63 г,49.9
56_dessert,Печиво сендвіч ананас 63 г,49.9
57_dessert,Печиво сендвіч полуниця 63 г,49.9
58_dessert,Вафлі полуничний смак 50 г,35.9
59_dessert,Вафлі лимонний смак 50 г,35.9
60_dessert,Печиво ванільно-молочний смак 50 г,45.9
61_dessert,Печиво шоколадний смак 50 г,45.9
62_dessert,Палички з норі 60 г,59.9
63_dessert,Палички полуниця з молоком 45 г,39.9
64_dessert,Nestle Crispy Shark вафлі 80 г,55.9
65_dessert,Nabati шоколадні вафлі 58 г,39.9
66_dessert,Хлібні палички середземноморський смак 50 г,35.9
67_dessert,Тістечко шоколадне 48 г,42.9
68_dessert,М’який хліб 90 г,55.9
69_dessert,Daliyuan пиріг полуничний 1 шт,45.9
70_dessert,Mini Oreo 55 г,49.9
71_drink,Nongfu Spring вода 550 мл,49.9
72_drink,Cestbon вода 555 мл,45.9
73_drink,Coca-Cola Zero 500 мл,39.9
74_drink,Coca-Cola 500 мл,35.9
75_drink,Pepsi 600 мл,42.9
76_drink,Fanta яблуко 500 мл,45.9
77_drink,Fanta апельсин 500 мл,39.9
78_drink,Sprite 500 мл,39.9
79_alcohol,Heineken пиво 500 мл,69.9
80_alcohol,Budweiser пиво 600 мл,79.9
81_drink,Pepsi 330 мл,29.9
82_drink,Coca-Cola 330 мл,29.9
83_drink,Wong Lo Kat трав’яний чай 310 мл,45.9
84_drink,Чайний напій юдзу зелений чай 500 мл,59.9
85_drink,Чайний напій троянда-лічі чорний чай 500 мл,62.9
86_drink,Ice Tea 250 мл,35.9
87_drink,JDB трав’яний напій 250 мл,39.9
88_alcohol,RIO фруктовий алкопоп персик 275 мл,89.9
89_alcohol,RIO алкопоп blue rose віскі 275 мл,89.9
90_alcohol,Ерготоу 100 мл,149.9
91_alcohol,Harbin пиво 330 мл,59.9
92_alcohol,Tsingtao пиво 330 мл,65.9
93_alcohol,Snow пиво 330 мл,55.9
94_alcohol,Harbin пиво 500 мл,79.9
95_alcohol,KELER пиво 500 мл,75.9
96_alcohol,Budweiser пиво 500 мл,75.9
97_milk,QQ Star дитяче молоко 125 мл,39.9
98_milk,QQ Star збалансоване молоко 125 мл,39.9
99_milk,Wahaha AD кальцієве молоко 220 г,55.9
100_milk,Енергетичний напій молочний 105 мл,45.9
101_milk,Wang Zai молоко відновлене 250 мл,59.9
102_milk,Yili чисте молоко 250 мл,45.9
103_milk,Vitasoy соєве молоко низький цукор 250 мл,55.9
104_milk,Арахісове молоко 250 мл,49.9
105_milk,Huiyi соєве молоко оригінальне 250 мл,49.9
106_milk,Yili кисломолочний напій 250 мл,55.9
107_milk,Yili молоко для сніданку 250 мл,49.9
108_canned_food,Daliyuan лонган і лотос 360 г,69.9
109_canned_food,Yinlu білий гриб лілія цукор 280 г,65.9
110_canned_food,Асорті з кокосовим желе 567 г,119.9
111_canned_food,Dole ананас шматочками 567 г,89.9
112_canned_food,Dole ананас шматочками 234 г,55.9
113_canned_food,Yinlu каша ячмінь і червона квасоля 280 г,49.9
114_canned_food,Yinlu каша лотос і кукурудза 280 г,49.9
115_canned_food,Yinlu каша фіолетовий батат і фіолетовий рис 280 г,49.9
116_canned_food,Yinlu вівсяна каша з кокосовим молоком 280 г,59.9
117_canned_food,Yinlu лонган чорний цукор 280 г,55.9
118_canned_food,Maling консервована шинка 340 г,149.9
119_canned_food,Риба з чорними бобами 150 г,79.9
120_canned_food,Жовтий горбиль риба 120 г,69.9
121_canned_food,Кокосове молоко 140 мл,45.9
122_chocolate,Dove шоколад манго-йогурт 42 г,55.9
123_chocolate,Dove шоколад мокка з мигдалем 43 г,59.9
124_chocolate,Dove білий шоколад маракуя 42 г,59.9
125_chocolate,M&M’s молочні драже з арахісом 40 г,49.9
126_chocolate,M&M’s молочні драже 40 г,45.9
127_chocolate,Hershey’s молочний шоколад 40 г,69.9
128_chocolate,Hershey’s білий шоколад печиво-вершки 40 г,69.9
129_chocolate,Crispy Rice білий шоколад з норі 24 г,39.9
130_chocolate,Crispy Rice білий шоколад молочний 24 г,35.9
131_chocolate,Snickers батончик арахіс 51 г,39.9
132_chocolate,Snickers батончик овес і арахіс 40 г,42.9
133_chocolate,Snickers батончик гострий арахіс 40 г,45.9
134_gum,Xuanmai жуйка м’ята 37 г,35.9
135_gum,Xuanmai жуйка лимон 37 г,35.9
136_gum,Xuanmai жуйка м’ята 21 г,25.9
137_gum,Xuanmai жуйка виноград 21 г,25.9
138_gum,Xuanmai жуйка кавун 21 г,25.9
139_gum,Xuanmai жуйка виноград 50 г,45.9
140_gum,Doublemint безцукрові м’ятні цукерки жасминовий чай 34 г,39.9
141_gum,Doublemint жуйка 5 пластинок 15 г,25.9
142_candy,Жувальна цукерка кола 11 г,12.9
143_candy,Жувальна цукерка виноград 11 г,12.9
144_candy,Starburst фруктові жувальні цукерки 25 г,45.9
145_candy,Alpenliebe льодяники карамель-молоко 45 г,35.9
146_candy,Alpenliebe жувальні цукерки персик-йогурт 47 г,39.9
147_candy,Alpenliebe жувальні цукерки чорниця-йогурт 47 г,39.9
148_candy,Wong Lo Kat льодяники для горла 28 г,39.9
149_candy,Yili молочні таблетки чорниця 32 г,49.9
150_candy,Жувальні цукерки полуниця-молоко 52 г,35.9
151_candy,Skittles фруктові драже 45 г,45.9
152_seasoner,Рисовий оцет витриманий 245 мл,69.9
153_seasoner,Ароматний оцет 340 мл,75.9
154_seasoner,Курячий бульйон-порошок 200 г,89.9
155_seasoner,Приправа для супу гриби-курка 41 г,35.9
156_seasoner,Порошок чилі 15 г,25.9
157_seasoner,Порошок імбиру 15 г,25.9
158_seasoner,Перець-сіль 20 г,29.9
159_seasoner,Сіль йодована 400 г,35.9
160_seasoner,Рисове кулінарне вино 500 мл,99.9
161_seasoner,Соєвий соус умамі 150 мл,45.9
162_seasoner,Соєвий соус преміум 150 мл,49.9
163_seasoner,Соєвий соус June Fresh 160 мл,39.9
164_personal_hygiene,Listerine Zero ополіскувач 80 мл,45.9
165_personal_hygiene,Safeguard гель для душу 100 мл,55.9
166_personal_hygiene,Засіб для укладки гель-спрей 60 мл,79.9
167_personal_hygiene,Clear Men шампунь м’ята 50 мл,49.9
168_personal_hygiene,Blue Moon пральний гель 80 г,39.9
169_personal_hygiene,Colgate паста відбілююча з содою 180 г,119.9
170_personal_hygiene,Colgate паста освіжаюча 180 г,99.9
171_personal_hygiene,Зубна паста відбілююча 80 г,65.9
172_personal_hygiene,Yunnan Baiyao зубна паста 45 г,89.9
173_personal_hygiene,Дитяча зубна щітка,39.9
174_tissue,Паперові серветки натуральна деревина 100x3,69.9
175_tissue,Серветки м’які face 150x3,75.9
176_tissue,Бамбукові серветки 100x3,65.9
177_tissue,Дитячі серветки 150x3,79.9
178_tissue,Серветки Minions 150x3,85.9
179_tissue,Серветки чорні натуральна деревина 150x3,79.9
180_tissue,Серветки оксамитові 130x3,72.9
181_tissue,Серветки з принтом 120x2,59.9
182_tissue,Серветки 130x3,69.9
183_tissue,Серветки аромат яблучне дерево 90x4,79.9
184_tissue,Серветки щільні 130x3,75.9
185_tissue,Бамбукові серветки зелені 135x3,72.9
186_tissue,Серветки натуральна деревина 150x2,59.9
187_tissue,Серветки face 130x3,69.9
188_tissue,Серветки рельєфні 110x3,65.9
189_tissue,Серветки одна пачка,19.9
190_tissue,Серветки Minions одна пачка,25.9
191_tissue,Серветки натуральні одна пачка,22.9
192_tissue,Серветки tea одна пачка,19.9
193_tissue,Серветки текстурні одна пачка,19.9
194_stationery,Блокнот Mickey 1928,69.9
195_stationery,Клей-олівець 15 г,25.9
196_stationery,Папка-конверт для документів,35.9
197_stationery,Коректор-стрічка равлик,49.9
198_stationery,Рідкий клей 50 г,29.9
199_stationery,Самоклейні етикетки,25.9
200_stationery,Маркер перманентний,35.9
